"","ID","tag_ID","lat","long","month","year","sample_loc","season","TotalLength","StandardLength","sclass","tissue_class","d15N","d13C","SL_est","est_age"
"37",24,"EN-170705-2",31.292563,-116.419495,7,2017,"AjuscoErendira","Summer",45,NA,"Small","Fin",17.76458348,-15.26471267,37.3335515425132,4.28346099233243
"38",25,"EN-170623-3",28.029533,-114.339297,6,2017,"GuerreroNegro","Summer",72,NA,"Medium","Fin",18.36115553,-15.68276913,60.1737231000753,7.6633495275417
"39",26,"EN-170602-1",28.029533,-114.339297,6,2017,"GuerreroNegro","Summer",197,NA,"Large","Fin",19.16202051,-12.38871321,165.915258088789,38.4828715800365
"40",27,"EN-170713-3",28.029533,-114.339297,7,2017,"GuerreroNegro","Summer",51,NA,"Small","Fin",17.80072772,-16.00109125,42.4091452219714,4.99230712775279
"41",29,"EN-170701-1",28.029533,-114.339297,7,2017,"GuerreroNegro","Summer",74,NA,"Medium","Fin",17.97555517,-15.57943581,61.8655876598947,7.93490200731643
"42",30,"EN-170506-3",28.029533,-114.339297,5,2017,"GuerreroNegro","Spring",75,NA,"Medium","Fin",17.5648687,-14.93142378,62.7115199398044,8.07190474172819
"43",31,"EN-170623-2",28.029533,-114.339297,6,2017,"GuerreroNegro","Summer",63,NA,"Small","Fin",18.15863581,-15.21542593,52.5603325808879,6.47998422340446
"44",32,"EN-170819-1",28.029533,-114.339297,8,2017,"GuerreroNegro","Summer",74,NA,"Medium","Fin",16.24953386,-15.7278807,61.8655876598947,7.93490200731643
"45",33,"EN-170713-6",28.029533,-114.339297,7,2017,"GuerreroNegro","Summer",46,NA,"Small","Fin",17.37744028,-16.19175133,38.1794838224229,4.40007733177827
"46",34,"TJ-170610-5",26.559731,-113.084641,6,2017,"LagunaSanIgnacio","Summer",90,NA,"Medium","Fin",19.5439301,-12.47751527,75.40050413845,10.2326907980056
"47",35,"TJ-170523-4",27.607747,-114.871167,5,2017,"BahiaTortugas","Spring",57,NA,"Small","Fin",17.91916312,-14.26606552,47.4847389014297,5.723975340842
"48",36,"TJ-170523-7",27.607747,-114.871167,5,2017,"BahiaTortugas","Spring",66,NA,"Small","Fin",18.57866764,-14.384884,55.098129420617,6.86763326642874
"49",37,"TJ-170610-2",26.559731,-113.084641,6,2017,"LagunaSanIgnacio","Summer",86,NA,"Medium","Fin",19.38339563,-15.31479936,72.0167750188112,9.63609985251891
"50",38,"TJ-170523-1",27.607747,-114.871167,5,2017,"BahiaTortugas","Spring",53,NA,"Small","Fin",18.32106362,-15.1605248,44.1010097817908,5.23358875870061
"51",39,"TJ-170523-2",27.607747,-114.871167,5,2017,"BahiaTortugas","Spring",55,NA,"Small","Fin",18.17303076,-14.85927954,45.7928743416103,5.47745944092812
"52",40,"TJ-170610-1",26.559731,-113.084641,6,2017,"LagunaSanIgnacio","Summer",51,NA,"Small","Fin",17.70920537,-15.16474517,42.4091452219714,4.99230712775279
"53",46,"GN-170717-2",28.029533,-114.339297,7,2017,"GuerreroNegro","Summer",70.2,NA,"Medium","Fin",18.22281472,-15.32319911,58.6510449962378,7.42169585327503
"54",47,"GN-170717-1",28.029533,-114.339297,7,2017,"GuerreroNegro","Summer",117.5,NA,"Large","Fin",17.97716188,-16.49878108,98.6636418359669,14.8222983089292
"55",48,"GSB5",32.85501,-117.28127,7,2019,"LaJolla","Summer",163,130,"Large","Fin",18.94802937,-14.51363508,137.153560571859,25.332151532641
"56",49,"GSB6",32.8556,-117.28147,7,2019,"LaJolla","Summer",118,99,"Large","Fin",16.14778945,-15.10559456,99.0866079759218,14.9149571523056
"57",1,"GSB7",32.83229,-117.29059,10,2019,"LaJolla","Fall",107,97,"Medium","Fin",16.64606277,-14.47974244,89.781352896915,12.958941069977
"58",2,"SolanaGSB",32.987,-117.274844,8,2019,"SolanaBeach","Summer",137,110.5,"Large","Fin",16.6113992,-13.04052921,115.159321294206,18.7491590337661
"59",3,"ArtFreezerFish",NA,NA,NA,NA,NA,NA,65,53,"Small","Fin",16.23649412,-14.9120376,54.2521971407073,6.73768087037468
"60",4,"ER-190615-01",26.693234,-113.59556,6,2019,"ElRosario","Summer",75,66.2,"Medium","Fin",16.5089493,-14.44604848,62.7115199398044,8.07190474172819
"61",5,"PA-190914-01",26.73388,-113.50588,9,2019,"PuntaAbreojos","Fall",141,124,"Large","Fin",18.39911151,-15.16510546,118.543050413845,19.6459058548459
"62",6,"TJ-190518-1",28.029533,-114.339297,5,2019,"GuerreroNegro","Spring",45,36,"Small","Fin",16.71845882,-15.74050087,37.3335515425132,4.28346099233243
"63",7,"TJ-200123-1",26.559731,-113.084641,1,2020,"ElDatil","Winter",51,42,"Small","Fin",16.36125271,-15.33334621,42.4091452219714,4.99230712775279
